,feature1,feature2,feature3
1991-12-25 09:40:00,0.44081081224272256,0.24833952184580455,0.8941786996191031
1991-12-25 09:41:00,0.8502540527180029,0.5930174278246156,0.32040354065180043
1991-12-25 09:42:00,0.9411174034724389,0.7636406243190944,0.32521305443255266
1991-12-25 09:43:00,0.8695157737209868,0.24438409674500694,0.953260965639659
1991-12-25 09:44:00,0.6758279219631328,0.4964964478842392,0.38130966630465046
1991-12-25 09:45:00,0.3584496289439002,0.07843367480813279,0.6009550330752961
1991-12-25 09:46:00,0.537449031740129,0.7734897275398402,0.3354770981084725
1991-12-25 09:47:00,0.06840860099825963,0.7997260355254887,0.20512755783747894
1991-12-25 09:48:00,0.1032246848537417,0.544642517204939,0.6877273367902901
1991-12-25 09:49:00,0.36932808344787005,0.9324088343696335,0.7160489659696537
1991-12-25 09:50:00,0.12317055749659711,0.08492328563040819,0.8196059612365147
1991-12-25 09:51:00,0.7251629642755728,0.9644139643807519,0.3386159910677099
1991-12-25 09:52:00,0.23990869401727888,0.030793287561821314,0.4280698814578575
1991-12-25 09:53:00,0.896320440960298,0.2343757815204932,0.8920154772864874
1991-12-25 09:54:00,0.650369588374722,0.6237886083644778,0.9051644793954297
1991-12-25 09:55:00,0.7534629220535112,0.8531962612692731,0.22739967389118543
1991-12-25 09:56:00,0.9752047291500457,0.7857520650791514,0.9780721348545859
1991-12-25 09:57:00,0.5130730580760491,0.7020699146381242,0.29028550508650386
1991-12-25 09:58:00,0.23900088828696653,0.7881686495831381,0.7981944596155761
1991-12-25 09:59:00,0.8158818679212189,0.1838578633159298,0.25299329309543905
1991-12-25 10:00:00,0.46328141346830465,0.8976920822209571,0.3339690987833809
1991-12-25 10:01:00,0.4729066686840252,0.6700223345218155,0.4963798981874674
1991-12-25 10:02:00,0.55939952833437,0.8846420661804891,0.8060181891510304
1991-12-25 10:03:00,0.4047759513361374,0.13058360701064253,0.2781630088118695
1991-12-25 10:04:00,0.3513153433226124,0.36911832557926616,0.6686011298976761
1991-12-25 10:05:00,0.2398580130675526,0.5212682777749412,0.608088715811515
1991-12-25 10:06:00,0.32083297693446067,0.9104610202686528,0.3478638921373052
1991-12-25 10:07:00,0.7095381374517731,0.1438295319222116,0.8217968411963524
1991-12-25 10:08:00,0.2694712187712178,0.8553550691645171,0.21929235681376724
1991-12-25 10:09:00,0.8048027647318122,0.18679988923157886,0.8428001357849347
