,feature1,feature2,feature3
1991-12-25 02:54:00,0.15362904033863622,0.24098727083165639,0.2362347828794813
1991-12-25 02:55:00,0.029298568363918975,0.11146121288724165,0.7674194400016392
1991-12-25 02:56:00,0.5971514876038987,0.6758799456788868,0.9536779103168318
1991-12-25 02:57:00,0.3309597658665334,0.24215118609881847,0.7894665468972417
1991-12-25 02:58:00,0.6499713708431922,0.030585815224759005,0.8892882125994737
1991-12-25 02:59:00,0.34895405029462956,0.43148278257506056,0.5103049637693717
1991-12-25 03:00:00,0.5681521201473568,0.34811585786517185,0.07782179330283923
1991-12-25 03:01:00,0.8783718883494475,0.8058564123470104,0.06409898776971934
1991-12-25 03:02:00,0.5414984695568937,0.8973265374057463,0.5600414258061113
1991-12-25 03:03:00,0.3561104037465511,0.9316041382222093,0.4308918048954379
1991-12-25 03:04:00,0.3499066170846644,0.5464985056096482,0.851031651753589
1991-12-25 03:05:00,0.4308017657248464,0.12918215970133928,0.20474902008473572
1991-12-25 03:06:00,0.5555689173649976,0.43569137088876175,0.02056131260284988
1991-12-25 03:07:00,0.7799260567657305,0.04864290062742482,0.521575796994434
1991-12-25 03:08:00,0.6145312029660218,0.9434116426536805,0.5323535596542299
1991-12-25 03:09:00,0.41454351280748847,0.3846426164343173,0.9911168040902156
1991-12-25 03:10:00,0.7040450869427917,0.6242737764758931,0.9454221522416361
1991-12-25 03:11:00,0.07545095678461855,0.13187080180484734,0.00034734886576959223
1991-12-25 03:12:00,0.15794052315122487,0.12819537383488222,0.23477459027130554
1991-12-25 03:13:00,0.8095052709443695,0.16293588243985746,0.8906823962006963
1991-12-25 03:14:00,0.8280925292266523,0.470397530689284,0.8611203579502517
1991-12-25 03:15:00,0.8522340287606341,0.543403374226667,0.24060967894092755
1991-12-25 03:16:00,0.3722004050034283,0.8926537865891557,0.5175084595164722
1991-12-25 03:17:00,0.804829305257283,0.18010377027338498,0.44466950214267575
1991-12-25 03:18:00,0.14970445385148623,0.5905916735312677,0.5018663858663474
1991-12-25 03:19:00,0.058425848370536104,0.8897249850307317,0.8506007361640434
1991-12-25 03:20:00,0.2287303317372562,0.981491153889139,0.8887437954352735
1991-12-25 03:21:00,0.12703944608833717,0.03469305773134346,0.381358949552543
1991-12-25 03:22:00,0.6250087490711282,0.6083805296358791,0.2642183371201585
1991-12-25 03:23:00,0.23922602977433827,0.9195741647724625,0.09017764329608624
